part_ID, part_prime, idea_ID, idea_content, idea_time, ideation_start, rel_idea_time, 
NeerzGGzFm2n3Y66T, rare, sbpq7T2e5t3YtTBky, Take them to the company and reproduce it, 2014-06-20 05:21:41.615000, 2014-06-20 05:20:03.852000, 0:01:37.763000, 
NeerzGGzFm2n3Y66T, rare, k62TdoSsHwjYH9Zk6, Sell at the lower price for the second hand, 2014-06-20 05:22:24.719000, 2014-06-20 05:20:03.852000, 0:02:20.867000, 
NeerzGGzFm2n3Y66T, rare, D346nGihPiBpP9YjG, try to sell on the museum or any old shop , 2014-06-20 05:22:56.532000, 2014-06-20 05:20:03.852000, 0:02:52.680000, 
NeerzGGzFm2n3Y66T, rare, 3WSexhPSx2pCPx4cS, take the batteries alone and save it and try to reproduce an new things, 2014-06-20 05:24:56.628000, 2014-06-20 05:20:03.852000, 0:04:52.776000, 
NeerzGGzFm2n3Y66T, rare, 6iya6o9hhPovvzzdF, try to ask with your co worker and get an innovative ideas, 2014-06-20 05:28:35.266000, 2014-06-20 05:20:03.852000, 0:08:31.414000, 
NeerzGGzFm2n3Y66T, rare, fL37xtpQ8GKkj8r2F, separate the display from the device and try to put the new one , 2014-06-20 05:30:32.086000, 2014-06-20 05:20:03.852000, 0:10:28.234000, 
NeerzGGzFm2n3Y66T, rare, u2shWuZk8YwjGX3WD, Don't forget i.e Old is gold and now the technology is developed from an older thing only., 2014-06-20 05:33:52.284000, 2014-06-20 05:20:03.852000, 0:13:48.432000, 
vWZcAdYC4gf6vZKi5, rare, QKCHJNdDP9hk2SSzd, use them as coasters, 2014-06-20 15:30:04.269000, 2014-06-20 15:30:08.917000, -1 day, 23:59:55.352000, 
vWZcAdYC4gf6vZKi5, rare, 7MAtLigEENrjgs3xF, use them as coasters, 2014-06-20 15:30:18.691000, 2014-06-20 15:30:08.917000, 0:00:09.774000, 
Qe98nDtnsG538Lm94, rare, Dt6PKGSbgakEvcHZs, OK; I guess they could be used in some kind of 3D art. Like the wind chimes in the example suggestion; or a mobile; or something. I also don't see why you couldn't just replace the batteries with working ones or leave them plugged in; and use them as MP3 players.  You cold toss a few into Christmas presents to make noise when they're shaken; so the person can't tell what they're getting. You could take them apart to learn how they work; or to harvest the parts (wires; electronics; displays if they're there; etc.) You can use them like flash drives in a pinch -- after all; they have a USB connection and storage space. You could take all the inside stuff out and use the shell as a box for small items. Maybe it would be a good place to hide jewelry or something; to hide it from thieves. That would depend on the original MP3 player; though. It would have to be a cheap one. I wouldn't use an iPod for that because people would want to steal it just as much as they would jewelry. Maybe you could take out the speakers and attach them to a laptop somehow; to make it louder? , 2014-06-20 17:08:37.781000, 2014-06-20 16:59:16.872000, 0:09:20.909000, 
